蚂蟥养殖,#genre#
蚂蟥养殖1,https://hls.cntv.kcdnvip.com:443/asp/hls/2000/0303000a/3/default/7b015112472c4132b90421c2d2b1ea13/2000.m3u8
蚂蟥养殖2,https://hls.cntv.kcdnvip.com:443/asp/hls/2000/0303000a/3/default/3e4ec20e2d7047f287a4213372e3a141/2000.m3u8
蚂蟥教授,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/6aeadbf7a9ed46d8b5af9f0f96a75124/850.m3u8
致富吸血虫,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/cb57d8594fff4653dfddc6a873ce78c4/850.m3u8
泥塘里的吸血宝贝,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/36e52b06c1704c74dd748aa1fc26f8e2/850.m3u8
蚂蝗的秘密,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/9ca83cac4bed47a88b3cdf8cda6ebed2/850.m3u8

移动高清,#genre#
CCTV4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.56:80/PLTV/88888888/224/3221226758/1.m3u8
CCTV1,http://223.110.243.138/PLTV/1/224/3221227467/index.m3u8
CCTV1,http://223.110.245.138/PLTV/1/224/3221227467/index.m3u8
CCTV2,http://223.110.243.135/PLTV/1/224/3221227543/index.m3u8
CCTV2,http://183.207.249.36/PLTV/1/224/3221227543/index.m3u8
CCTV3,http://223.110.245.136/PLTV/1/224/3221227546/index.m3u8
CCTV4,http://223.110.245.138/PLTV/1/224/3221227549/index.m3u8
CCTV5,http://223.110.243.136/PLTV/4/224/3221227537/index.m3u8
CCTV5,http://183.207.249.34/PLTV/4/224/3221227537/index.m3u8
CCTV5+,http://223.110.243.136/PLTV/1/224/3221227502/index.m3u8
CCTV5+,http://223.110.245.168/PLTV/1/224/3221227502/index.m3u8
CCTV6,http://223.110.245.135/PLTV/1/224/3221227505/index.m3u8
CCTV6,http://223.110.243.138/PLTV/1/224/3221227505/index.m3u8
CCTV7,http://211.137.115.110:8080/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV8,http://223.110.243.135/PLTV/1/224/3221227473/index.m3u8
CCTV9,http://211.137.115.110:8080/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV10,http://211.137.115.110:8080/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV11,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV12,http://211.137.115.110:8080/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV13,http://211.137.115.110:8080/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV13,http://211.137.115.110:8080/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
